Name,Sequence,,Description,Character,Button Left (Negative),,,,,,Button Right (Positive),,,,,
,Name,Order,,,Text,Authority,Money,Army,People,SQ,Text,Authority,Money,Army,People,SQ
Reforms-1.0,1,0,"A famous dissident spoke publicly against the ways of the royal court, calling for change. Many common cats gather to his side, yet the noble paws fear such unrest. What shall be done, Meowjesty?",Councillor,See that he troubles us no more!,2,,,-15,,Bring him to me at once!,,,,5,1
Reforms-1.1,1,1,"Meowjesty, I come not as a rebel, but as a humble servant of truth. The kingdom's ways have grown heavy upon the common paws, their cries unheard, their purrs unmet. I speak for justice and mercy, for fairness to all who dwell beneath your rule. Change is needed, not to break the realm, but to mend it. Hear my plea, Meowjesty, for the good of all catkind.",MeowrtinLuther,Away with him!,2,,,-8,,The hour of reform is nigh!,-20,-5,,25,
Feast-2.0,2,0,"Your Meowness, allow me to suggest a celebration beneath the moon's glow. Both noble and common paws alike yearn for it, yet it will not be cheap.",Councillor,The kingdom has no need of such fancy.,,,,-5,,We shall honor the moon!,5,-15,,10,1
Feast-2.1,2,1,"Meowjesty, our hunters have returned with a rare catch for the royal feast. Should we share some of it with the common cats?",Councillor,Give them the scraps.,,,,,,Majesty's grace shall grant them a fine dinner.,,,,10,
Strays-3.0,3,0,"A band of strays arrives at the gates, seeking shelter within the kingdom walls. They may need care, but could prove loyal.",General,"It's too crowded already, away with them!",,,,-5,,Let them in.,,-5,,5,1
Strays-3.1,3,1,"Word has spread that one of the strays you welcomed is none other than Prince Clawrence of Purrsia, who survived a mutiny.  His loyalty now lies with you, Meowjesty, and he offers his favour in gratitude.",General,Let him live among the commoners.,-5,,,,,Grant him a place at court.,5,,15,,
Kingsguard,,,"A skilled young cat wants to join your [KingGender]'s Guard. Yet, no female cat has served in such ranks before.",General,Let her prove herself first.,,,,,,Time to break tradition!,-5,,5,,
Expedition,,,"A band of explorers brings tales of lands beyond the Great River, full of riches. Shall we fund an expedition?",Steward,Leave the unknown be.,,,,-5,,Send our best explorers!,,15,,,
Extortion,,,"Meowvalon demands a tribute in exchange for peace. The sum is heavy, but war might be costlier.",General,We shall teach them a lesson.,15,,-30,,,Pay them the tribute.,-10,-20,,,
NobleRebellion,,,"Rumors tell of secret meetings among the noble paws, stirring thoughts of rebellion.",Steward,They shall pay.,5,,,-10,,Double the guard around the court.,5,-10,5,,
Invention,,,"An inventor brings forth a strange, large contraption for defense. It is costly, but might prove useful.",General,This invention is insignificant.,,,-5,,,I shall fund that invention.,,-15,15,,
Statue-6.0,6,0,"Meowjesty, allow me to present Master Meowchelangelo, the finest sculptor in the realm. He seeks your blessing to craft a monument in your honor.",Steward,Let him speak of his intent.,,,,,1,Bring him forth.,,,,,1
Statue-6.1,6,1,"O Meowjesty, grant me leave to carve your noble form in stone, that your reign be remembered for ages to come. My fee, I assure you, is the most modest.",Meowchelangelo,The kingdom has no need of such fancy.,,,,-5,,The common paws deserve to gaze upon my greatness in stone!,5,-10,,5,
BlackPlague-4.0,4,0,A strange illness has taken root among the soldiers who returned from their campaign afar. It could spread if they enter the city.,General,No sick paw shall enter!,,,-15,-5,1,Welcome them back and see them cured.,,,-5,-30,1
BlackPlague-4.1,4,1,"Meowjesty, a ragged stray has arrived, swearing he can heal the illness with strange herbs and tonics. Though he requires a handsome sum for his services.",Councillor,We need no charlatan here.,,,,,,Grant him what he seeks.,-5,-10,,,
